Package,Declaring class,Method,Params,CC
org.apache.commons.cli,Options,addOption,"(String opt, boolean hasArg, String description)",1
org.apache.commons.cli,Options,addOption,"(String opt, String description)",1
org.apache.commons.cli,Options,addOption,"(String opt, String longOpt, boolean hasArg, String description)",1
org.apache.commons.cli,Options,addRequiredOption,"(String opt, String longOpt, boolean hasArg, String description)",1
org.apache.commons.cli,Options,getOption,"(String opt)",1
org.apache.commons.cli,Options,getOptionGroup,"(Option opt)",1
org.apache.commons.cli,Options,getOptionGroups,"()",1
org.apache.commons.cli,Options,getOptions,"()",1
org.apache.commons.cli,Options,getRequiredOptions,"()",1
org.apache.commons.cli,Options,hasLongOption,"(String opt)",1
org.apache.commons.cli,Options,hasOption,"(String opt)",1
org.apache.commons.cli,Options,hasShortOption,"(String opt)",1
org.apache.commons.cli,Options,helpOptions,"()",1
org.apache.commons.cli,Options,toString,"()",1
org.apache.commons.cli,ParseException,wrap,"(Throwable e)",1
org.apache.commons.cli,Parser,checkRequiredOptions,"()",1
org.apache.commons.cli,Parser,getOptions,"()",1
org.apache.commons.cli,Parser,getRequiredOptions,"()",1
org.apache.commons.cli,Parser,parse,"(Options options, String[] arguments)",1
org.apache.commons.cli,Parser,parse,"(Options options, String[] arguments, boolean stopAtNonOption)",1
org.apache.commons.cli,Parser,parse,"(Options options, String[] arguments, Properties properties)",1
org.apache.commons.cli,Parser,processOption,"(String arg, ListIterator<String> iter)",1
org.apache.commons.cli,Parser,setOptions,"(Options options)",1
org.apache.commons.cli,Parser,updateRequiredOptions,"(Option opt)",1
org.apache.commons.cli,PatternOptionBuilder,getValueClass,"(char ch)",1
org.apache.commons.cli,PatternOptionBuilder,isValueCode,"(char ch)",1
org.apache.commons.cli,PatternOptionBuilder,unsupported,"()",1
org.apache.commons.cli,PosixParser,gobble,"(Iterator<String> iter)",1
org.apache.commons.cli,PosixParser,init,"()",1
org.apache.commons.cli,PosixParser,processNonOptionToken,"(String value, boolean stopAtNonOption)",1
org.apache.commons.cli,PosixParser,processOptionToken,"(String token, boolean stopAtNonOption)",1
org.apache.commons.cli,TypeHandler,createClass,"(String className)",1
org.apache.commons.cli,TypeHandler,createDate,"(String string)",1
org.apache.commons.cli,TypeHandler,createDefaultMap,"()",1
org.apache.commons.cli,TypeHandler,createFile,"(String string)",1
org.apache.commons.cli,TypeHandler,createFiles,"(String string)",1
org.apache.commons.cli,TypeHandler,createNumber,"(String string)",1
org.apache.commons.cli,TypeHandler,createObject,"(String className)",1
org.apache.commons.cli,TypeHandler,createURL,"(String string)",1
org.apache.commons.cli,TypeHandler,createValue,"(String string, Object obj)",1
org.apache.commons.cli,TypeHandler,getDefault,"()",1
org.apache.commons.cli,TypeHandler,openFile,"(String string)",1
org.apache.commons.cli,TypeHandler,putDefaultMap,"(Map<Class<?>,Converter<?,? extends Throwable>> map)",1
org.apache.commons.cli,TypeHandler,getConverter,"(Class<T> clazz)",1
org.apache.commons.cli,UnrecognizedOptionException,getOption,"()",1
org.apache.commons.cli,Util,isEmpty,"(Object[] array)",1
org.apache.commons.cli,Util,isEmpty,"(String str)",1
org.apache.commons.cli,Util,stripLeadingAndTrailingQuotes,"(String str)",1
org.apache.commons.cli,Util,stripLeadingHyphens,"(String str)",1
org.apache.commons.cli.help,AbstractHelpFormatter,getComparator,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,getHelpAppendable,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,getOptionFormatBuilder,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,getOptionFormatter,"(Option option)",1
org.apache.commons.cli.help,AbstractHelpFormatter,getOptionGroupSeparator,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,getSerializer,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,getSyntaxPrefix,"()",1
org.apache.commons.cli.help,AbstractHelpFormatter,printHelp,"(String cmdLineSyntax, String header, Iterable<Option> options, String footer, boolean autoUsage)",1
org.apache.commons.cli.help,AbstractHelpFormatter,printHelp,"(String cmdLineSyntax, String header, Options options, String footer, boolean autoUsage)",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"(Iterable<Option> options)",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"(Options options)",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"(TableDefinition tableDefinition)",1
org.apache.commons.cli.help,AbstractHelpFormatter,setSyntaxPrefix,"(String prefix)",1
org.apache.commons.cli.help,AbstractHelpFormatter,sort,"(Iterable<Option> options)",1
org.apache.commons.cli.help,AbstractHelpFormatter,sort,"(Options options)",1
org.apache.commons.cli.help,AbstractHelpFormatter,toArgName,"(String argName)",1
org.apache.commons.cli.help,AbstractHelpFormatter,toSyntaxOptions,"(Iterable<Option> options)",1
org.apache.commons.cli.help,AbstractHelpFormatter,toSyntaxOptions,"(Options options)",1
org.apache.commons.cli.help,Builder,asThis,"()",1
org.apache.commons.cli.help,Builder,getComparator,"()",1
org.apache.commons.cli.help,Builder,getHelpAppendable,"()",1
org.apache.commons.cli.help,Builder,getOptionFormatBuilder,"()",1
org.apache.commons.cli.help,Builder,getOptionGroupSeparator,"()",1
org.apache.commons.cli.help,Builder,setComparator,"(Comparator<Option> comparator)",1
org.apache.commons.cli.help,Builder,setHelpAppendable,"(HelpAppendable helpAppendable)",1
org.apache.commons.cli.help,Builder,setOptionFormatBuilder,"(OptionFormatter.Builder optionFormatBuilder)",1
org.apache.commons.cli.help,Builder,setOptionGroupSeparator,"(String optionGroupSeparator)",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"(char ch)",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"(CharSequence text)",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"(CharSequence csq, int start, int end)",1
org.apache.commons.cli.help,HelpFormatter,builder,"()",1
org.apache.commons.cli.help,Builder,get,"()",1
org.apache.commons.cli.help,Builder,setShowSince,"(boolean showSince)",1
org.apache.commons.cli.help,OptionFormatter,builder,"()",1
org.apache.commons.cli.help,OptionFormatter,from,"(Option option)",1
org.apache.commons.cli.help,OptionFormatter,getArgName,"()",1
org.apache.commons.cli.help,OptionFormatter,getBothOpt,"()",1
